CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
755,CENTRO DE ENSINO SUPERIOR DE JATAÍ,CESUT,Jataí,GO,4,0,11,centro de ensino superior de jatai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,Teresina,PI,2,571,373,universidade estadual do piaui,89,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0
757,Centro Universitário da Amazônia,Unama,Santarém,PA,4,10,52,centro universitario da amazonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO,FCHPE,Recife,PE,4,1,11,faculdade de ciencias humanas de pernambuco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,CENTRO UNIVERSITÁRIO DE GOIÂNIA,UNICEUG,Goiânia,GO,4,12,45,centro universitario de goiania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,UNIVERSIDADE DE CUIABÁ,UNIC/UNIME,Cuiabá,MT,4,113,144,universidade de cuiaba,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
781,FACULDADE ANHANGUERA DE RONDONÓPOLIS,FAR,Rondonópolis,MT,4,52,28,faculdade anhanguera de rondonopolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Boa Vista,RR,1,384,142,universidade federal de roraima,160,3,0,3,0,9,0,0,0,1,0,6,0,0,0,5,0,0,88,33,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0
790,Faculdade Israelita de Ciências da Saúde Albert Einstein,FICSAE,São Paulo,SP,5,130,2,faculdade israelita de ciencias da saude albert einstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,Belém,PA,5,144,185,centro universitario do estado do para,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
793,Centro Universitário Estácio de São Paulo,ESTÁCIO SÃO PAULO,São Paulo,SP,4,62,144,centro universitario estacio de sao paulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,UNIVAG,Várzea Grande,MT,5,121,170,centro universitario de varzea grande,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,FACULDADES INTEGRADAS DE DIAMANTINO,FID,Diamantino,MT,5,0,2,faculdades integradas de diamantino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,Jaciara,MT,4,12,25,faculdade de ciencias sociais aplicadas do vale do sao lourenco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,Faculdade Favoo coop,,Vilhena,RO,4,1,10,faculdade favoo coop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,FACULDADES INTEGRADAS DE ARACRUZ,FAACZ,Aracruz,ES,5,8,33,faculdades integradas de aracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,CENTRO UNIVERSITÁRIO UNICARIOCA,UNICARIOCA,Rio de Janeiro,RJ,5,65,69,centro universitario unicarioca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE,FADILESTE,Reduto,MG,5,3,5,faculdade de direito e ciencias sociais do leste de minas  fadileste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE,CTESOP,Assis Chateaubriand,PR,4,12,27,centro tecnico educacional superior do oeste paranaense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,UNIVERSIDADE CEUMA,UNICEUMA,São Luís,MA,5,173,300,universidade ceuma,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,14,0,0,0,0,0,0,2,0,0,0,0
824,CENTRO UNIVERSITÁRIO DE GOIATUBA,UNICERRADO,Goiatuba,GO,3,37,94,centro universitario de goiatuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,FACULDADE PRESBITERIANA GAMMON,FAGAMMON,Lavras,MG,5,10,41,faculdade presbiteriana gammon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,UNIDESC,Luziânia,GO,4,21,38,centro universitario de desenvolvimento do centro oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,FACULDADE DE SÃO LOURENÇO,FASAMA,São Lourenço,MG,4,3,21,faculdade de sao lourenco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,UNIVERSIDADE ESTADUAL DO TOCANTINS,UNITINS,Palmas,TO,2,97,165,universidade estadual do tocantins,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Macapá,AP,1,366,193,universidade federal do amapa,151,0,0,1,0,0,4,1,0,1,0,1,0,0,1,9,0,8,65,16,0,17,0,21,0,0,0,0,0,0,6,0,0,0,0
832,FACULDADE ARQUIDIOCESANA DE CURVELO,FAC,Curvelo,MG,4,3,15,faculdade arquidiocesana de curvelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI,FATEB,Birigui,SP,3,7,20,faculdade de ciencias e tecnologia de birigui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA,FAC-FEA,Araçatuba,SP,3,9,29,faculdade da fundacao educacional aracatuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,Belo Horizonte,MG,5,33,12,faculdade jesuita de filosofia e teologia,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
852,FIAP - Centro Universitário,,São Paulo,SP,4,40,101,fiap  centro universitario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,Macapá,AP,4,9,35,centro de ensino superior do amapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE,FESCG,Campo Grande,MS,4,34,86,faculdade estacio de sa de campo grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,FACULDADES UNIFICADAS DE FOZ DO IGUAÇU,UNIFOZ,Foz do Iguaçu,PR,4,2,14,faculdades unificadas de foz do iguacu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,Centro Universitário Católica do Leste de Minas Gerais,UNILESTE,Coronel Fabriciano,MG,5,35,76,centro universitario catolica do leste de minas gerais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,IMESA,Assis,SP,7,59,77,instituto municipal de ensino superior de assis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,IMESB,Bebedouro,SP,3,18,13,instituto municipal de ensino superior de bebedouro victorio cardassi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,FACULDADE DE HORTOLÂNDIA,FACH,Hortolândia,SP,4,1,2,faculdade de hortolandia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO,EG,Belo Horizonte,MG,2,29,16,escola de governo professor paulo neves de carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Centro Universitário Unisan,UNISAN,São Paulo,SP,5,6,24,centro universitario unisan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,FACULDADE UNIABRANGE,,Porto Velho,RO,4,1,1,faculdade uniabrange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,FACULDADE ESCOLA PAULISTA DE DIREITO,FACEPD,São Paulo,SP,4,17,7,faculdade escola paulista de direito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,FACULDADE SANTA LÚCIA,FCACSL,Mogi Mirim,SP,5,16,29,faculdade santa lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,FACULDADES INTEGRADAS DE PARANAÍBA - FIPAR,FIPAR,Paranaíba,MS,5,3,24,faculdades integradas de paranaiba  fipar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,FACULDADE ESTÁCIO DE TERESINA,ESTÁCIO TERESINA,Teresina,PI,4,62,107,faculdade estacio de teresina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,CENTRO UNIVERSITÁRIO UNIVEL,,Cascavel,PR,4,53,114,centro universitario univel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,FACULDADE REGES DE DRACENA,,Dracena,SP,5,9,21,faculdade reges de dracena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,CENTRO UNIVERSITÁRIO SÃO ROQUE,UNISÃO ROQUE,São Roque,SP,5,10,12,centro universitario sao roque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande,,Campo Grande,MS,4,93,134,centro universitario anhanguera pitagoras unopar de campo grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,FACULDADE CATÓLICA DE ANÁPOLIS,CATÓLICA DE ANÁPOLIS,Anápolis,GO,5,1,18,faculdade catolica de anapolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,Faculdades Magsul,FAMAG,Ponta Porã,MS,5,10,23,faculdades magsul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,ESPM,Rio de Janeiro,RJ,5,59,32,escola superior de propaganda e marketing do rio de janeiro,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,Faculdade Funorte de Januária,,Januária,MG,4,9,4,faculdade funorte de januaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Santos,SP,5,127,248,universidade santa cecilia,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
953,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Santos,SP,5,170,147,universidade metropolitana de santos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,FACULDADE DE TECNOLOGIA DE TAQUARITINGA,FATEC/TQ,Taquaritinga,SP,2,33,44,faculdade de tecnologia de taquaritinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,ESCOLA SUPERIOR EM MEIO AMBIENTE,ESMA,Iguatama,MG,5,2,4,escola superior em meio ambiente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,FACULDADE SENAI-CETIQT,SENAI-CETIQT,Rio de Janeiro,RJ,5,14,17,faculdade senai cetiqt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,Centro Universitário de Bauru,,Bauru,SP,5,28,33,centro universitario de bauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,FACULDADE DO SERTÃO DO PAJEÚ,FASP,Afogados da Ingazeira,PE,7,4,15,faculdade do sertao do pajeu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,Joinville,SC,5,34,60,instituto superior e centro educacional luterano  bom jesus  ielusc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,FACTU,Unaí,MG,5,7,18,faculdade de ciencias e tecnologia de unai  factu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,FACULDADE DE CIÊNCIAS DE TIMBAÚBA,FACET,Timbaúba,PE,5,9,15,faculdade de ciencias de timbauba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Campos dos Goytacazes,RJ,2,318,0,universidade estadual do norte fluminense darcy ribeiro,342,0,0,1,1,1,0,0,0,5,0,2,0,0,0,14,0,5,209,0,0,34,0,0,0,0,0,0,3,0,65,0,2,0,0
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Dourados,MS,2,622,167,universidade estadual de mato grosso do sul,120,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,6,84,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0
1030,Centro Universitário IBMEC,IBMEC,Rio de Janeiro,RJ,4,81,8,centro universitario ibmec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,UNISAL,Americana,SP,5,55,113,centro universitario salesiano de sao paulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Belo Horizonte,MG,2,572,948,universidade do estado de minas gerais,65,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,37,15,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
1038,FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,Três Lagoas,MS,5,52,58,faculdades integradas de tres lagoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,UNIVERSIDADE DO VALE DO TAQUARI,UNIVATES,Lajeado,RS,5,161,135,universidade do vale do taquari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,4,293,314,universidade positivo,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0
1043,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,FHO,Araras,SP,5,116,121,centro universitario da fundacao herminio ometto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,Leme,SP,4,53,20,centro universitario anhanguera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,São José do Rio Preto,SP,5,90,115,uniao das faculdades dos grandes lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,FACULDADE CAMPOS ELÍSEOS,FCE,São Paulo,SP,5,4,11,faculdade campos eliseos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,Manaus,AM,5,5,22,instituto de ensino superior fucapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,Centro Universitário de Excelência,UNEX,Feira de Santana,BA,4,34,40,centro universitario de excelencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,Centro Universitário Maurício de Nassau de Salvador,Uninassau Salvador,Salvador,BA,5,51,72,centro universitario mauricio de nassau de salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,Centro Universitário Estácio da Bahia,Estácio Bahia,Salvador,BA,4,78,142,centro universitario estacio da bahia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,Faculdade Multiversa de Fortaleza,,Fortaleza,CE,4,2,6,faculdade multiversa de fortaleza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,IESB,Brasília,DF,4,102,159,centro universitario do instituto de educacao superior de brasilia  iesb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Faculdade Doctum de Vila Velha,DOCTUM,Vila Velha,ES,5,9,10,faculdade doctum de vila velha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,Faculdade Doctum de Vitória,DOCTUM,Vitória,ES,5,20,41,faculdade doctum de vitoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,FACULDADE DE JUSSARA,FAJ,Jussara,GO,4,3,14,faculdade de jussara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,FACULDADE ALDETE MARIA ALVES,FAMA,Iturama,MG,5,4,16,faculdade aldete maria alves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,FACULDADE CNEC UNAÍ,,Unaí,MG,5,0,3,faculdade cnec unai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,CENTRO UNIVERSITÁRIO - UNIESP,UNIESP,Cabedelo,PB,4,78,91,centro universitario  uniesp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,FACULDADE CATÓLICA DA PARAÍBA,,Cajazeiras,PB,5,2,39,faculdade catolica da paraiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,Centro Universitário Estácio do Recife,,Recife,PE,4,61,159,centro universitario estacio do recife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO,INTEGRADO,Campo Mourão,PR,4,43,60,centro universitario integrado de campo mourao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,FACULDADE MARINGÁ,CESPAR,Maringá,PR,5,7,22,faculdade maringa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO,UNIFASE,Petrópolis,RJ,5,111,177,centro universitario arthur sa earp neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,FACULDADE DE ENGENHARIA DE RESENDE,FER,Resende,RJ,5,10,23,faculdade de engenharia de resende,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,Natal,RN,1,435,393,"instituto federal de educacao, ciencia e tecnologia do rio grande do norte",109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,81,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,CENTRO UNIVERSITÁRIO CNEC DE BENTO GONÇALVES,,Bento Gonçalves,RS,5,3,12,centro universitario cnec de bento goncalves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,FACULDADE METODISTA CENTENÁRIO,FMC,Santa Maria,RS,5,4,10,faculdade metodista centenario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,,Porto Velho,RO,5,31,73,centro universitario aparicio carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,FACULDADE SÃO LUÍS DE FRANÇA,FSLF,Aracaju,SE,4,13,25,faculdade sao luis de franca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
