CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
20,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,5,273,241,universidade de passo fundo,112,0,0,1,0,2,0,0,0,4,0,0,0,0,0,8,0,7,54,0,0,0,0,12,0,0,0,0,1,0,23,0,0,0,0
21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,5,636,223,pontificia universidade catolica do rio grande do sul,655,0,1,3,0,8,1,0,0,9,5,40,0,1,3,82,0,101,203,0,0,35,2,1,0,0,0,0,17,3,139,1,0,0,0
22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,São Paulo,SP,5,809,268,universidade presbiteriana mackenzie,142,0,0,2,0,1,0,0,0,2,4,0,0,0,0,15,0,10,51,0,0,6,2,8,0,0,0,0,2,1,38,0,0,0,0
23,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,5,223,184,universidade feevale,140,0,0,0,0,0,1,0,0,5,0,19,0,0,0,16,0,4,32,17,0,16,1,4,0,0,0,0,2,0,23,0,0,0,0
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Ilhéus,BA,2,553,156,universidade estadual de santa cruz,239,7,0,2,0,1,0,0,0,1,0,2,0,0,0,16,0,21,108,6,0,9,0,13,0,0,0,0,2,0,49,0,1,0,1
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Rio de Janeiro,RJ,1,28,5,escola nacional de ciencias estatisticas,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
27,Centro Universitário UninCor,UninCor,Três Corações,MG,5,39,90,centro universitario unincor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,2,785,312,universidade estadual do ceara,320,2,1,2,0,0,6,1,0,6,1,3,0,7,1,15,0,9,192,0,0,9,11,7,0,0,0,0,0,1,46,0,0,0,0
30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Alfenas,MG,5,162,203,universidade professor edson antonio velano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Maceió,AL,2,88,109,universidade estadual de ciencias da saude de alagoas  uncisal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
